"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"ｵﾒｶﾞ-3脂肪酸ｴﾁﾙ粒状ｶﾌﾟｾﾙ2g｢武田ﾃﾊﾞ｣","E25","","","","","",""
"オメプラゾール錠１０ｍｇ「トーワ」","C19","","","","","",""
"オメプラゾール錠２０ｍｇ「トーワ」","","","","","","",""
"オラセフ錠２５０ｍｇ","C19","","","","","",""
"オラドールＳトローチ０．５ｍｇ","C21","","","","","",""
"オランザピンＯＤ錠１０ｍｇ「明治」","E15","","","","","",""
"ｵﾗﾝｻﾞﾋﾟﾝOD錠1.25mg｢ｱﾒﾙ｣","E15","","","","","",""
"オランザピンＯＤ錠２．５ｍｇ「明治」","O","E15","","","","",""
"オランザピンＯＤ錠５ｍｇ「明治」","E15","","","","","",""
"オルケディア錠１ｍｇ","E15","","","","","",""
"オルテクサー口腔用軟膏０．１％","C6","","","","","",""
"ｵﾙﾍﾞｽｺ100μgｲﾝﾍﾗｰ112吸入用","","","","","","",""
"ｵﾙﾍﾞｽｺ100μgｲﾝﾍﾗｰ56吸入用","E9","","","","","",""
"ｵﾙﾍﾞｽｺ200μgｲﾝﾍﾗｰ56吸入用","E9","","","","","",""
"オルミエント錠２ｍｇ","E15","","","","","",""
"オルミエント錠４ｍｇ","E15","","","","","",""
"ｵﾙﾒｻﾙﾀﾝOD錠10mg｢DSEP｣","C19","P","","","","",""
"ｵﾙﾒｻﾙﾀﾝOD錠20mg｢DSEP｣","C19","P","","","","",""
"オルメサルタンＯＤ錠５ｍｇ「ＤＳＥＰ」","C19","","","","","",""
"オロパタジン塩酸塩ＯＤ錠５ｍｇ「明治」","E11","","","","","",""
